Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3727770000
2017-12-19,2692.709961,2694.439941,2680.739990,2681.469971,2681.469971,3407680000
2017-12-20,2688.179932,2691.010010,2676.110107,2679.250000,2679.250000,3246230000
2017-12-21,2683.020020,2692.639893,2682.399902,2684.570068,2684.570068,3293130000
2017-12-22,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2401030000
2017-12-26,2679.090088,2682.739990,2677.959961,2680.500000,2680.500000,1970660000
2017-12-27,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202900000
2017-12-28,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2174890000
2017-12-29,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2447760000
2018-01-02,2683.729980,2695.889893,2682.360107,2695.810059,2695.810059,3397430000
2018-01-03,2697.850098,2714.370117,2697.770020,2713.060059,2713.060059,3544030000
2018-01-04,2719.310059,2729.290039,2719.070068,2723.989990,2723.989990,3697340000
2018-01-05,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3239280000
2018-01-08,2742.669922,2748.510010,2737.600098,2747.709961,2747.709961,3246160000
2018-01-09,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,3467460000
2018-01-10,2745.550049,2750.800049,2736.060059,2748.229980,2748.229980,3579900000
2018-01-11,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3645690000
2018-01-12,2770.179932,2787.850098,2769.639893,2786.239990,2786.239990,3587220000
2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4362880000
2018-01-17,2784.989990,2807.040039,2778.379883,2802.560059,2802.560059,3790340000
2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3703300000
2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3724230000
2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3489480000
2018-01-23,2835.050049,2842.239990,2830.590088,2839.129883,2839.129883,3541140000
2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4079270000
2018-01-25,2846.239990,2848.560059,2830.939941,2839.250000,2839.250000,3873100000
2018-01-26,2847.479980,2872.870117,2846.179932,2872.870117,2872.870117,3474680000
2018-01-29,2867.229980,2870.620117,2851.479980,2853.530029,2853.530029,3587420000
2018-01-30,2832.739990,2837.750000,2818.270020,2822.429932,2822.429932,4012070000
2018-01-31,2832.409912,2839.260010,2813.040039,2823.810059,2823.810059,4276270000
2018-02-01,2816.449951,2835.959961,2812.699951,2821.979980,2821.979980,3977380000
2018-02-02,2808.919922,2808.919922,2759.969971,2762.129883,2762.129883,4340220000
2018-02-05,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5310840000
2018-02-06,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5917350000
2018-02-07,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4646300000
2018-02-08,2685.010010,2685.270020,2580.560059,2581.000000,2581.000000,5333840000
